location_name,Event_Type,event_year,qaqc,event_name_calc,Tree_ID,Module,Tree_Number,Species_Original,Plant_Concept_Current_IDF,DBH,Tree_Status,Crown_Class,Vigor,Dieback,Condition_Damage_Code_1,Condition_Damage_Code_2,Condition_Damage_Code_3,Condition_Damage_Code_4,Condition_Damage_Code_5,Foliage_Condition_1,Foliage_Percent_Class_1,Foliage_Condition_2,Foliage_Percent_Class_2,Foliage_Condition_3,Foliage_Percent_Class_3,Foliage_Condition_4,Foliage_Percent_Class_4,Foliage_Condition_5,Foliage_Percent_Class_5,Dead_Tree_Decay_Class,Snag_Height
STRI011,QA/QC,2011,-1,STRI011Q,{046E5112-DD1A-40F1-A2F5-4E2CB7683246},1,10,JUNIVIR,{93F0EB64-8D04-4DF8-9E2E-AE19AD08B5DE},11,1,5,4,4,,,,,,,,,,,,,,,,,
STRI011,QA/QC,2011,-1,STRI011Q,{176F77E1-5A97-4450-8887-704A4D0C815C},4,37,ULMUALA,{1B0FB3A9-1387-4901-985E-2DBCBCBFC8F1},10,1,5,2,,,,,,,,,,,,,,,,,,
STRI011,QA/QC,2011,-1,STRI011Q,{11E46E3F-4BC4-466E-B26F-D47E82F40DD3},4,32,MACLPOM,{D8D6F979-8444-4F87-91DD-2B1F77531C7C},18,1,5,4,4,,,,,,,,,,,,,,,,,
STRI011,QA/QC,2011,-1,STRI011Q,{2748D372-420F-418F-A0E4-5F9A2BCEA516},2,14,JUNIVIR,{93F0EB64-8D04-4DF8-9E2E-AE19AD08B5DE},22,1,3,1,2,FORK,,,,,,,,,,,,,,,,
STRI011,QA/QC,2011,-1,STRI011Q,{2AB9480A-0248-4947-A911-1DBF41C6D8B6},4,30,JUNIVIR,{93F0EB64-8D04-4DF8-9E2E-AE19AD08B5DE},12,1,5,2,1,,,,,,,,,,,,,,,,,
STRI011,QA/QC,2011,-1,STRI011Q,{2B31C287-64C5-4827-BB76-CE7D70BD1F96},1,7,MACLPOM,{D8D6F979-8444-4F87-91DD-2B1F77531C7C},17,1,3,5,5,,,,,,,,,,,,,,,,,
STRI011,QA/QC,2011,-1,STRI011Q,{3A94C4D8-2C7E-4624-94B2-9C3FCBE2AFDB},4,26,GLEDTRI,{32BD5BD3-F4A9-401E-BC93-A9F77562B0AD},15,2,,,,,,,,,,,,,,,,,,,2,12
STRI011,QA/QC,2011,-1,STRI011Q,{548CFD58-3B12-4D88-A0A3-C68AEB269578},2,21,MACLPOM,{D8D6F979-8444-4F87-91DD-2B1F77531C7C},12,1,5,2,1,CROK,,,,,,,,,,,,,,,,
STRI011,QA/QC,2011,-1,STRI011Q,{5E2471E2-9CA2-4F38-91AC-459018BD6AE1},2,15,MACLPOM,{D8D6F979-8444-4F87-91DD-2B1F77531C7C},13,1,5,4,1,LEAN,VINE,,,,,,,,,,,,,,,
STRI011,QA/QC,2011,-1,STRI011Q,{6554E164-F84D-45A0-8253-E0F30FF52401},1,4,MACLPOM,{D8D6F979-8444-4F87-91DD-2B1F77531C7C},12,1,5,3,3,FORK,,,,,,,,,,,,,,,,
STRI011,QA/QC,2011,-1,STRI011Q,{66DE99F5-3C44-4145-AA7C-AEF315D40617},1,8,MACLPOM,{D8D6F979-8444-4F87-91DD-2B1F77531C7C},14,1,5,3,3,CROK,,,,,,,,,,,,,,,,
STRI011,QA/QC,2011,-1,STRI011Q,{6756BEB7-DA92-423C-BA2D-A23D2F02A8F5},3,24,JUGLNIG,{16F2F098-D8C8-4FD7-94E8-4550777609CD},14,1,3,1,1,EPIC,,,,,,,,,,,,,,,,
STRI011,QA/QC,2011,-1,STRI011Q,{6FE504DD-2F14-499A-846B-8BB80E962276},2,17,JUNIVIR,{93F0EB64-8D04-4DF8-9E2E-AE19AD08B5DE},23,1,2,1,1,,,,,,,,,,,,,,,,,
STRI011,QA/QC,2011,-1,STRI011Q,{7099D8D2-56E8-4550-92B2-B49D3BEC9F02},4,29,ULMUALA,{1B0FB3A9-1387-4901-985E-2DBCBCBFC8F1},24,1,2,1,,FORK,,,,,,,,,,,,,,,,
STRI011,QA/QC,2011,-1,STRI011Q,{7D219083-C981-4303-8020-8976F4273788},3,22,JUNIVIR,{93F0EB64-8D04-4DF8-9E2E-AE19AD08B5DE},23,1,3,2,2,,,,,,,,,,,,,,,,,
STRI011,QA/QC,2011,-1,STRI011Q,{7E5F41D8-5049-4538-B650-8DCB74CF3A2D},1,2,JUNIVIR,{93F0EB64-8D04-4DF8-9E2E-AE19AD08B5DE},11,1,5,2,1,,,,,,,,,,,,,,,,,
