Fire_Name,Park,Plot,Date_Plot_Established,Date_Plot_Revisited,Fire_Start_Date,NOTES
Westside Burn-07,COWP,COWP001,6/20/11,6/21/16,4/23/08,
East Loop,COWP,COWP002,6/20/11,6/20/16,4/23/08,
Hayes,COWP,COWP003,6/22/11,6/20/16,4/23/08,
Hayes,COWP,COWP004,6/21/11,6/20/16,4/23/08,
Westside Burn-07,COWP,COWP005,6/23/11,6/22/16,2/19/08,
Battlefield Burn,COWP,COWP006,6/20/11,6/21/16,5/13/03,
IL 2011,COWP,COWP006,6/20/11,6/21/16,2/16/11,
Battlefield Burn,COWP,COWP009,6/18/12,6/20/17,5/13/03,
IL 2011,COWP,COWP009,6/18/12,6/20/17,2/16/11,
Westside Burn-07,COWP,COWP010,6/18/12,6/20/17,2/19/08,
Inner Loop 2012,COWP,COWP012,6/19/12,6/21/17,2/17/12,
Hayes,COWP,COWP014,6/19/12,6/21/17,4/23/08,
Inner Loop 2012,COWP,COWP016,6/19/12,6/19/17,2/17/12,
Hayes,COWP,COWP019,6/20/12,6/21/17,4/23/08,
Westside Burn-07,COWP,COWP021,6/17/13,6/17/13,2/19/08,
Hayes,COWP,COWP022,6/17/13,6/29/18,4/23/08,
Hayes,COWP,COWP024,6/18/13,6/28/18,4/23/08,
RX Burn,CUGA,CUGA006,8/22/11,8/23/16,4/25/06,
Dark Ridge C RX burn,CUGA,CUGA006,8/22/11,8/23/16,4/29/10,
Dark Ridge C/Sugar Run A FY 16 Rx Burn,CUGA,CUGA006,8/22/11,8/23/16,3/23/16,
RX Burn,CUGA,CUGA033,8/18/14,,4/28/06,
Tiprell A,CUGA,CUGA033,8/18/14,,3/18/09,
Tiprell A,CUGA,CUGA033,8/18/14,,4/3/13,
RX Burn,CUGA,CUGA046,8/11/15,,4/4/05,
Dark Ridge A,CUGA,CUGA046,8/11/15,,3/8/09,
Dark Ridge A&B,CUGA,CUGA046,8/11/15,,3/30/14,
Eastline,KIMO,KIMO001,6/28/11,6/29/16,4/11/08,
Eastline,KIMO,KIMO001,6/28/11,6/29/16,4/28/13,
Eastline,KIMO,KIMO002,6/28/11,6/28/16,4/11/08,
Eastline,KIMO,KIMO002,6/28/11,6/28/16,4/28/13,
,KIMO,KIMO003,6/27/11,6/27/16,3/29/04,
Partner P-Burn,KIMO,KIMO003,6/27/11,6/27/16,4/7/08,
,KIMO,KIMO004,6/27/11,6/23/16,6/29/03,
Brushy Ridge North,KIMO,KIMO004,6/27/11,6/23/16,3/13/08,
"Brushy North, 2018",KIMO,KIMO004,6/27/11,6/23/16,5/2/18,
Saddleback,KIMO,KIMO004,6/27/11,6/23/16,2/21/11,
HQ Complex,KIMO,KIMO005,6/27/11,6/23/16,3/23/07,
Colonial,KIMO,KIMO005,6/27/11,6/23/16,4/14/09,
BROWNS MTN,KIMO,KIMO006,6/29/11,6/28/16,4/1/01,Year only
SaddleBack,KIMO,KIMO006,6/29/11,6/28/16,4/25/04,
Saddleback,KIMO,KIMO006,6/29/11,6/28/16,2/21/11,
Saddleback,KIMO,KIMO006,6/29/11,6/28/16,5/29/16,
Piedmont P-Burn,KIMO,KIMO007,6/30/11,6/27/16,4/29/09,
Eastline,KIMO,KIMO009,6/29/11,6/29/16,4/11/08,
Eastline,KIMO,KIMO009,6/29/11,6/29/16,4/28/13,
Brushy Ridge-South Burn,KIMO,KIMO011,6/25/12,6/27/17,6/17/05,
Brushy Ridge South,KIMO,KIMO011,6/25/12,6/27/17,3/20/10,
BROWNS MTN,KIMO,KIMO012,6/26/12,6/27/17,4/1/01,Year only
SaddleBack,KIMO,KIMO012,6/26/12,6/27/17,4/25/04,
Saddleback,KIMO,KIMO012,6/26/12,6/27/17,2/21/11,
Saddleback,KIMO,KIMO012,6/26/12,6/27/17,5/29/16,
Colonial,KIMO,KIMO013,6/21/12,6/26/17,4/14/09,
