location_name,QAQC,event_year,event_name_calc,Transect,Diameter,Decay_Class
STRI011,-1,2011,STRI011Q,Y,10,2
STRI011,-1,2011,STRI011Q,Y,14,2
STRI011,-1,2011,STRI011Q,Y,9,1
STRI011,0,2011,STRI011,X,12.7,3
STRI011,0,2011,STRI011,Y,11,3
STRI011,0,2011,STRI011,Y,13.3,3
STRI011,0,2011,STRI011,Y,9,1
COWP014,-1,2012,COWP014Q,X,10,4
COWP014,-1,2012,COWP014Q,X,16,2
COWP014,-1,2012,COWP014Q,X,13,4
COWP014,-1,2012,COWP014Q,Y,13,3
COWP014,-1,2012,COWP014Q,X,17,2
COWP014,-1,2012,COWP014Q,Y,12,3
COWP014,-1,2012,COWP014Q,X,21,5
COWP014,-1,2012,COWP014Q,Y,8,2
COWP014,0,2012,COWP014,X,7.5,2
COWP014,0,2012,COWP014,X,13,2
COWP014,0,2012,COWP014,Y,10,3
COWP014,0,2012,COWP014,X,15,2
CHIC007,-1,2012,CHIC007Q,X,12,2
CHIC007,0,2012,CHIC007,Y,8,4
CHIC007,0,2012,CHIC007,X,14,3
MACA036,-1,2014,MACA036Q,Y,16,2
MACA036,-1,2014,MACA036Q,Y,10,2
MACA036,-1,2014,MACA036Q,X,8,2
MACA036,0,2014,MACA036,Y,7.5,2
MACA036,0,2014,MACA036,Y,10,2
MACA036,0,2014,MACA036,X,7.5,2
MACA036,0,2014,MACA036,Y,15,2
MACA036,0,2014,MACA036,Y,10,3
MACA036,0,2014,MACA036,Y,14,2
MACA008,-1,2016,MACA008Q,X,10,3
MACA008,-1,2016,MACA008Q,X,7.5,2
MACA008,-1,2016,MACA008Q,X,8,4
MACA008,-1,2016,MACA008Q,Y,18,2
MACA008,-1,2016,MACA008Q,X,15,3
MACA008,-1,2016,MACA008Q,Y,8,3
MACA008,-1,2016,MACA008Q,X,25,3
MACA008,-1,2016,MACA008Q,Y,7.5,2
MACA008,0,2016,MACA008,X,12,3
MACA008,0,2016,MACA008,Y,17,2
MACA008,0,2016,MACA008,X,25,2
MACA008,0,2016,MACA008,Y,8,2
MACA008,0,2016,MACA008,X,17,3
MACA008,0,2016,MACA008,X,8,2
MACA008,0,2016,MACA008,X,8,2
MACA047,-1,2015,MACA047Q,Y,24,2
MACA047,-1,2015,MACA047Q,X,7.5,2
MACA047,-1,2015,MACA047Q,Y,12,2
MACA047,-1,2015,MACA047Q,Y,20,2
MACA047,-1,2015,MACA047Q,X,19,3
MACA047,0,2015,MACA047,X,19,2
MACA047,0,2015,MACA047,Y,24,2
MACA047,0,2015,MACA047,Y,11,2
MACA047,0,2015,MACA047,Y,10,5
MACA047,0,2015,MACA047,Y,19,2
MACA058,0,2016,MACA058,Y,20,1
MACA058,-1,2016,MACA058Q,X,16,4
MACA058,-1,2016,MACA058Q,Y,15,4
MACA058,-1,2016,MACA058Q,X,30,4
LOOK007,-1,2012,LOOK007Q,Y,17,2
LOOK007,-1,2012,LOOK007Q,Y,8,3
LOOK007,-1,2012,LOOK007Q,X,8,1
LOOK007,-1,2012,LOOK007Q,Y,8,2
LOOK007,-1,2012,LOOK007Q,X,12,2
LOOK007,0,2012,LOOK007,Y,12,3
LOOK007,0,2012,LOOK007,X,11,3
LOOK007,0,2012,LOOK007,,15,4
MACA053,0,2015,MACA053,X,8,3
MACA053,0,2015,MACA053,X,8,2
MACA053,0,2015,MACA053,X,9,2
MACA053,0,2015,MACA053,X,23,3
MACA053,0,2015,MACA053,X,11,2
MACA053,0,2015,MACA053,X,8,3
MACA053,0,2015,MACA053,Y,12,2
MACA053,0,2015,MACA053,X,19,4
MACA053,0,2015,MACA053,X,8,2
MACA053,-1,2015,MACA053Q,X,8,2
MACA053,-1,2015,MACA053Q,X,11,2
MACA053,-1,2015,MACA053Q,Y,10,2
MACA053,-1,2015,MACA053Q,X,8,2
MACA053,-1,2015,MACA053Q,X,17,2
MACA053,-1,2015,MACA053Q,X,21,2
GUCO009,0,2011,GUCO009,Y,8,2
GUCO009,0,2011,GUCO009,Y,8,4
GUCO009,0,2011,GUCO009,Y,8,2
GUCO009,0,2011,GUCO009,Y,15,5
GUCO009,0,2011,GUCO009,Y,17,2
GUCO009,0,2011,GUCO009,X,12,4
GUCO009,0,2011,GUCO009,X,14,3
GUCO009,0,2011,GUCO009,Y,22,3
GUCO009,0,2011,GUCO009,X,8,4
GUCO009,-1,2011,GUCO009Q,X,10,4
GUCO009,-1,2011,GUCO009Q,Y,19,2
GUCO009,-1,2011,GUCO009Q,Y,25,3
GUCO009,-1,2011,GUCO009Q,X,9,2
GUCO009,-1,2011,GUCO009Q,Y,8,2
GUCO009,-1,2011,GUCO009Q,Y,8,2
GUCO009,-1,2011,GUCO009Q,X,14,3
GUCO009,-1,2011,GUCO009Q,Y,8,4
GUCO009,-1,2011,GUCO009Q,Y,12,4
MACA001,-1,2016,MACA001Q,Y,13,2
MACA001,-1,2016,MACA001Q,X,15,3
MACA001,-1,2016,MACA001Q,Y,13,2
MACA001,-1,2016,MACA001Q,X,19,3
MACA001,-1,2016,MACA001Q,Y,14,3
MACA001,-1,2016,MACA001Q,Y,14,4
MACA001,0,2016,MACA001,Y,14,3
MACA001,0,2016,MACA001,X,18,3
MACA001,0,2016,MACA001,Y,12,3
MACA001,0,2016,MACA001,Y,14,3
MACA001,0,2016,MACA001,Y,14,3
MACA001,0,2016,MACA001,Y,12,3
MACA001,0,2016,MACA001,Y,13,3
MACA001,0,2016,MACA001,X,15,3
MACA007,0,2016,MACA007,X,19,2
MACA007,0,2016,MACA007,X,13,3
MACA007,0,2016,MACA007,Y,9,2
MACA007,0,2016,MACA007,Y,11,3
MACA007,0,2016,MACA007,Y,8,2
MACA007,0,2016,MACA007,X,20,2
MACA007,-1,2016,MACA007Q,X,19,2
MACA007,-1,2016,MACA007Q,Y,9,3
MACA007,-1,2016,MACA007Q,X,19,2
CHIC005,-1,2011,CHIC005Q,X,8,3
CHIC005,-1,2011,CHIC005Q,Y,17,4
CHIC005,-1,2011,CHIC005Q,Y,15,4
CHIC005,-1,2011,CHIC005Q,X,12,2
CHIC005,-1,2011,CHIC005Q,X,11,1
CHIC005,-1,2011,CHIC005Q,X,57,2
CHIC005,-1,2011,CHIC005Q,Y,60,5
CHIC005,-1,2011,CHIC005Q,X,12,2
CHIC005,0,2011,CHIC005,Y,21,5
CHIC005,0,2011,CHIC005,X,13,3
CHIC005,0,2011,CHIC005,X,54,1
CHIC005,0,2011,CHIC005,X,9,4
CHIC005,0,2011,CHIC005,Y,14,4
CHIC005,0,2011,CHIC005,X,12,1
CHIC005,0,2011,CHIC005,X,10,1
MACA037,-1,2014,MACA037Q,X,17,3
MACA037,-1,2014,MACA037Q,X,8,1
MACA037,-1,2014,MACA037Q,Y,8,2
MACA037,-1,2014,MACA037Q,X,9,3
MACA037,0,2014,MACA037,X,8,2
MACA037,0,2014,MACA037,X,17,3
MACA037,0,2014,MACA037,X,9,3
KIMO011,0,2012,KIMO011,Y,10,3
KIMO011,0,2012,KIMO011,Y,9,1
KIMO011,0,2012,KIMO011,Y,7.5,3
KIMO011,0,2012,KIMO011,Y,8,2
KIMO011,0,2012,KIMO011,X,7.5,3
KIMO011,0,2012,KIMO011,Y,10,1
KIMO011,0,2012,KIMO011,X,35,4
KIMO011,0,2012,KIMO011,X,25,4
KIMO011,-1,2012,KIMO011Q,Y,11,1
KIMO011,-1,2012,KIMO011Q,Y,12,4
KIMO011,-1,2012,KIMO011Q,X,9,1
KIMO011,-1,2012,KIMO011Q,Y,9,1
KIMO011,-1,2012,KIMO011Q,X,9,3
KIMO011,-1,2012,KIMO011Q,X,8,3
KIMO011,-1,2012,KIMO011Q,Y,10,5
KIMO011,-1,2012,KIMO011Q,X,24,5
KIMO011,-1,2012,KIMO011Q,Y,9,2
KIMO011,-1,2012,KIMO011Q,Y,9,1
KIMO011,-1,2012,KIMO011Q,X,25,5
KIMO011,-1,2012,KIMO011Q,Y,11,3
KIMO011,-1,2012,KIMO011Q,Y,8,3
