location_name,QAQC,event_year,event_name_calc,Community_Code,CommGroup,Fit,Confidence
KIMO011,-1,2012,KIMO011Q,CEGL008431,G015,3,2
GUCO008,-1,2011,GUCO008Q,CEGL008475,G165,2,2
COWP014,0,2012,COWP014,CEGL004418,G034,1,1
COWP014,-1,2012,COWP014Q,CEGL004418,G034,2,1
CHIC014,-1,2013,CHIC014Q,CEGL007808,G601,1,2
CHIC002,-1,2016,CHIC002Q,CEGL007808,G601,1,2
CHIC002,0,2016,CHIC002,CEGL007808,G601,1,1
CHIC007,-1,2012,CHIC007Q,CEGL007808,G601,3,1
CHIC005,-1,2011,CHIC005Q,CEGL007709,G159,3,3
STRI011,0,2011,STRI011,CEGL007124,G030,2,2
STRI008,0,2011,STRI008,CEGL007124,G030,1,1
MACA036,-1,2014,MACA036Q,CEGL007124,G030,1,1
MACA036,0,2014,MACA036,CEGL007124,G030,1,1
KIMO013,-1,2012,KIMO013Q,CEGL003708,G159,3,2
KIMO011,0,2012,KIMO011,CEGL008462,G031,3,2
CHIC009,0,2017,CHIC009,CEGL007217,G031,2,2
MACA023,-1,2013,MACA023Q,CEGL007217,G031,2,2
MACA023,0,2013,MACA023,CEGL007217,G031,1,1
CHIC009,-1,2017,CHIC009Q,CEGL007217,G031,3,3
GUCO008,0,2011,GUCO008,CEGL002591,G030,2,2
LOOK003,0,2016,LOOK003,CEGL007700,G159,1,2
LOOK013,0,2013,LOOK013,CEGL007700,G159,1,1
LOOK013,-1,2013,LOOK013Q,CEGL007700,G159,1,1
LOOK006,-1,2017,LOOK006Q,CEGL007700,G159,1,1
LOOK003,-1,2016,LOOK003Q,CEGL007700,G159,1,1
LOOK017,0,2014,LOOK017,CEGL007700,G159,1,1
LOOK017,-1,2014,LOOK017Q,CEGL007700,G159,2,1
LOOK006,0,2017,LOOK006,CEGL007700,G159,1,1
CHIC017,0,2014,CHIC017,CEGL007247,G159,1,1
CHIC017,-1,2014,CHIC017Q,CEGL007247,G159,1,1
CHIC007,0,2012,CHIC007,CEGL007247,G159,3,2
CHIC005,0,2011,CHIC005,CEGL007247,G159,2,2
LOOK007,0,2012,LOOK007,CEGL005033,G552,3,2
STRI011,-1,2011,STRI011Q,CEGL004697,G030,1,1
STRI008,-1,2011,STRI008Q,CEGL004697,G030,1,1
MACA007,-1,2016,MACA007Q,CEGL008442,G601,2,2
MACA007,0,2016,MACA007,CEGL008442,G601,2,1
MACA060,-1,2017,MACA060Q,CEGL002411,G020,1,1
MACA001,0,2016,MACA001,CEGL005022,G015,1,1
CHIC014,0,2013,CHIC014,CEGL004731,G030,1,1
KIMO013,0,2012,KIMO013,CEGL007221,G030,2,3
LOOK005,0,2011,LOOK005,CEGL008430,G159,3,1
LOOK005,-1,2011,LOOK005Q,CEGL008430,G159,2,2
MACA060,0,2017,MACA060,CEGL002070,G601,2,2
MACA061,0,2017,MACA061,CEGL007220,G030,2,2
COWP019,0,2012,COWP019,CEGL007216,G031,1,1
COWP019,-1,2012,COWP019Q,CEGL007216,G031,1,1
MACA027,0,2013,MACA027,CEGL007795,G159,1,1
MACA047,0,2015,MACA047,CEGL007795,G159,1,1
MACA053,0,2015,MACA053,CEGL007795,G159,1,1
MACA061,-1,2017,MACA061Q,CEGL007795,G159,2,2
MACA018,0,2013,MACA018,CEGL007795,G159,2,2
MACA053,-1,2015,MACA053Q,CEGL007795,G159,1,1
MACA031,-1,2014,MACA031Q,CEGL007795,G159,1,1
MACA037,0,2014,MACA037,CEGL007795,G159,1,1
MACA009,0,2017,MACA009,CEGL007795,G159,1,1
MACA009,-1,2017,MACA009Q,CEGL007795,G159,1,1
MACA037,-1,2014,MACA037Q,CEGL007795,G159,3,2
MACA018,-1,2013,MACA018Q,CEGL007795,G159,1,1
MACA058,0,2016,MACA058,CEGL007795,G159,1,1
MACA047,-1,2015,MACA047Q,CEGL007795,G159,1,1
MACA058,-1,2016,MACA058Q,CEGL007795,G159,1,1
MACA031,0,2014,MACA031,CEGL007795,G159,1,1
MACA027,-1,2013,MACA027Q,CEGL007795,G159,2,2
MACA008,-1,2016,MACA008Q,CEGL005018,G159,1,1
MACA008,0,2016,MACA008,CEGL005018,G159,1,1
MACA012,0,2017,MACA012,CEGL004133,G030,1,1
MACA012,-1,2017,MACA012Q,CEGL004133,G030,2,2
GUCO009,0,2011,GUCO009,CEGL007244,G159,1,1
GUCO009,-1,2011,GUCO009Q,CEGL007244,G159,1,1
LOOK007,-1,2012,LOOK007Q,CEGL007330,G553,2,2
