location_name,QAQC,event_year,event_name_calc,Module,Direction,Spherical_Densiometer_Tally
STRI011,-1,2011,STRI011Q,4,N,78
STRI011,-1,2011,STRI011Q,2,W,86
STRI011,-1,2011,STRI011Q,3,S,72
STRI011,-1,2011,STRI011Q,4,E,82
STRI011,-1,2011,STRI011Q,4,W,80
STRI011,-1,2011,STRI011Q,1,W,80
STRI011,-1,2011,STRI011Q,3,W,65
STRI011,-1,2011,STRI011Q,3,E,78
STRI011,-1,2011,STRI011Q,2,E,86
STRI011,-1,2011,STRI011Q,1,S,86
STRI011,-1,2011,STRI011Q,2,S,85
STRI011,-1,2011,STRI011Q,1,N,80
STRI011,-1,2011,STRI011Q,2,N,76
STRI011,-1,2011,STRI011Q,1,E,83
STRI011,-1,2011,STRI011Q,3,N,44
STRI011,-1,2011,STRI011Q,4,S,80
STRI011,0,2011,STRI011,4,S,81
STRI011,0,2011,STRI011,2,S,84
STRI011,0,2011,STRI011,3,S,61
STRI011,0,2011,STRI011,3,W,70
STRI011,0,2011,STRI011,2,W,83
STRI011,0,2011,STRI011,1,W,78
STRI011,0,2011,STRI011,1,N,77
STRI011,0,2011,STRI011,2,E,84
STRI011,0,2011,STRI011,1,E,78
STRI011,0,2011,STRI011,1,S,78
STRI011,0,2011,STRI011,4,W,81
STRI011,0,2011,STRI011,4,N,67
STRI011,0,2011,STRI011,3,E,66
STRI011,0,2011,STRI011,3,N,67
STRI011,0,2011,STRI011,2,N,82
STRI011,0,2011,STRI011,4,E,83
COWP014,-1,2012,COWP014Q,4,E,92
COWP014,-1,2012,COWP014Q,2,E,79
COWP014,-1,2012,COWP014Q,4,S,96
COWP014,-1,2012,COWP014Q,1,N,90
COWP014,-1,2012,COWP014Q,3,W,93
COWP014,-1,2012,COWP014Q,1,E,95
COWP014,-1,2012,COWP014Q,4,W,90
COWP014,-1,2012,COWP014Q,2,W,93
COWP014,-1,2012,COWP014Q,3,E,87
COWP014,-1,2012,COWP014Q,1,W,92
COWP014,-1,2012,COWP014Q,4,N,89
COWP014,-1,2012,COWP014Q,1,S,96
COWP014,-1,2012,COWP014Q,3,S,85
COWP014,-1,2012,COWP014Q,2,S,90
COWP014,-1,2012,COWP014Q,2,N,77
COWP014,-1,2012,COWP014Q,3,N,95
COWP014,0,2012,COWP014,4,E,88
COWP014,0,2012,COWP014,3,W,92
COWP014,0,2012,COWP014,2,N,88
COWP014,0,2012,COWP014,3,E,88
COWP014,0,2012,COWP014,3,N,89
COWP014,0,2012,COWP014,1,W,91
COWP014,0,2012,COWP014,2,W,89
COWP014,0,2012,COWP014,1,E,91
COWP014,0,2012,COWP014,4,N,84
COWP014,0,2012,COWP014,3,S,78
COWP014,0,2012,COWP014,4,W,94
COWP014,0,2012,COWP014,4,S,89
COWP014,0,2012,COWP014,2,S,91
COWP014,0,2012,COWP014,1,S,92
COWP014,0,2012,COWP014,1,N,88
COWP014,0,2012,COWP014,2,E,87
CHIC007,-1,2012,CHIC007Q,3,E,82
CHIC007,-1,2012,CHIC007Q,4,E,74
CHIC007,-1,2012,CHIC007Q,3,S,86
CHIC007,-1,2012,CHIC007Q,1,W,84
CHIC007,-1,2012,CHIC007Q,4,S,79
CHIC007,-1,2012,CHIC007Q,2,E,78
CHIC007,-1,2012,CHIC007Q,3,N,80
CHIC007,-1,2012,CHIC007Q,4,N,87
CHIC007,-1,2012,CHIC007Q,3,W,82
CHIC007,-1,2012,CHIC007Q,2,N,81
CHIC007,-1,2012,CHIC007Q,4,W,89
CHIC007,-1,2012,CHIC007Q,1,N,82
CHIC007,-1,2012,CHIC007Q,1,E,78
CHIC007,-1,2012,CHIC007Q,2,S,81
CHIC007,-1,2012,CHIC007Q,1,S,85
CHIC007,-1,2012,CHIC007Q,2,W,86
CHIC007,0,2012,CHIC007,2,N,78
