event_name_date_calc,Event_ID,lastCommCode,lastCommGroup
CARL026 - 2013,{596B3551-8CC4-4B2F-995B-C59EEC49D083},CEGL007230,G165
COWP013 - 2017,{383D057C-AFA1-4A72-9291-024513FA74AA},CEGL006327,G030
COWP013 - 2012,{192D8F0B-0098-4B89-A511-8879AB812F59},CEGL006327,G030
RUCA001 - 2011,{BCD3BC72-D0CF-4838-A987-587B6F1CD07A},CEGL002070,G601
RUCA001 - 2016,{1AF80B35-EF9F-49D7-828A-17C837617936},CEGL002070,G601
KIMO016 - 2012,{C1E30CE7-6C76-4AC8-B252-2FCDCB3A17D4},CEGL004418,G034
KIMO016 - 2017,{030FBECA-BEFD-4D29-B972-DA9F32E0A986},CEGL004418,G034
LOOK004 - 2011,{8146BADB-7DE8-46E7-A709-CE6AB5FEA6DC},CEGL007700,G159
LOOK004 - 2016,{403C3D38-2ECD-4C71-97F9-C348AF5191AA},CEGL007700,G159
STRI020 - 2016,{46254450-BF65-40F8-BED8-3F17B394668A},CEGL007808,G601
STRI020 - 2011,{4BF1D04A-452E-4495-BA3F-C63A9EF0372C},CEGL007808,G601
LOOK011 - 2013,{8EC0DEC5-D0DC-4A38-A309-48B035F5CBB6},CEGL007231,G159
CHIC007 - 2012,{557397DC-82A4-4B13-AC23-745912A25B83},CEGL007247,G159
CHIC007 - 2017,{517A0FA5-CC88-41E6-B53C-450AAF0CD932},CEGL007247,G159
CHIC007Q - 2012,{0DAFCC1F-3547-4871-BBD0-478A6922DEA6},CEGL007247,G159
CUGA016 - 2012,{1902E728-86BD-4A84-9AA8-89F328C08467},CEGL007692,G165
CUGA016 - 2017,{A84DFE88-DA37-4A3C-8E6D-041BEDC78381},CEGL007692,G165
CUGA029 - 2014,{F9942E50-349D-4169-BEAA-1C8AD4C78B30},CEGL007692,G165
CARL011 - 2017,{020A733C-04C1-4DC0-AAE9-11F725023F5B},CEGL007267,G015
CARL011 - 2012,{D9269BFD-73F6-4BDF-A1EB-0B57758CF5AF},CEGL007267,G015
KNOB027 - 2014,{DA2AD376-D64D-4B6D-B90B-794F72A13316},CEGL002591,G030
GUCO024 - 2017,{A9F46A70-3AD5-41DA-949D-2C4E70AAA84B},CEGL007244,G159
GUCO024 - 2012,{7B1149DB-7498-4B58-8C60-D8DEA977A601},CEGL007244,G159
GUCO027 - 2013,{2782AFD9-B272-487F-B4B1-A13D49621EB0},CEGL007221,G030
