event_name_date_calc,Data_Entry_Order,Module,Corner,Species_Original,Plant_Name,Plant_Concept_Reference,Seedling_Ht_5_50,Seedling_Ht_5_15,Seedling_Ht_15_30,Seedling_Ht_30_50,Seedling_Ht_50_137,Sapling_DBH_0_1,Sapling_DBH_1_2half,Sapling_DBH_2half_5,Sapling_DBH_5_10,Data_Entry_Notes,Data_Entry_Flag
BIRT002 - 2011,4934,1,2,LIRITUL,Liriodendron tulipifera,NPSpecies 2010,1,,,,1,2,,,,,0
BIRT002 - 2011,4936,1,2,SAMBNIG,Sambucus nigra,NPSpecies 2010,,,,,,,1,,,,0
BIRT002 - 2011,4938,1,4,PRUNSER,Prunus serotina,NPSpecies 2010,1,,,,,,,,,,0
BIRT002 - 2011,4940,1,4,FRAXAME,Fraxinus americana,NPSpecies 2010,9,,,,,,,,,,0
BIRT002 - 2011,4942,1,4,SASSALB,Sassafras albidum,NPSpecies 2010,,,,,,1,,,,,0
BIRT002 - 2011,4944,2,2,CERCCAN,Cercis canadensis,NPSpecies 2010,,,,,,,,,2,,0
BIRT002 - 2011,4946,2,3,ACERNEG,Acer negundo,NPSpecies 2010,,,,,,1,,1,,,0
BIRT002 - 2011,4948,3,2,LIRITUL,Liriodendron tulipifera,NPSpecies 2010,1,,,,,2,,,,,0
BIRT002 - 2011,4950,3,2,FRAXAME,Fraxinus americana,NPSpecies 2010,,,,,,,,1,,,0
BIRT002 - 2011,4952,3,4,MORURUB,Morus rubra,NPSpecies 2010,1,,,,,,,,,,0
BIRT002 - 2011,4954,4,2,CELTOCC,Celtis occidentalis,NPSpecies 2010,,,,,,,1,,,,0
BIRT002 - 2011,4956,4,3,ACERSACM,Acer saccharum,NPSpecies 2010,1,,,,,,1,,,,0
BIRT002 - 2011,4958,4,3,FRAXAME,Fraxinus americana,NPSpecies 2010,3,,,,,,,,,,0
BIRT002 - 2011,4960,4,3,ULMURUB,Ulmus rubra,NPSpecies 2010,,,,,,1,1,,,,0
BIRT002 - 2016,158108,1,2,LIRITUL,Liriodendron tulipifera,NPSpecies 2010,,,,,,1,1,,,,0
BIRT002 - 2016,158110,1,4,FRAXAME,Fraxinus americana,NPSpecies 2010,,5,2,,,,,,,,0
BIRT002 - 2016,158112,2,2,CERCCAN,Cercis canadensis,NPSpecies 2010,,,,,,,,,2,,0
BIRT002 - 2016,158114,3,2,FRAXAME,Fraxinus americana,NPSpecies 2010,,,,,,,,1,,,0
BIRT002 - 2016,158116,3,4,FRAXAME,Fraxinus americana,NPSpecies 2010,,,,,,1,,,,,0
BIRT002 - 2016,158118,4,2,FRAXAME,Fraxinus americana,NPSpecies 2010,,1,,,,1,,,,,0
BIRT002 - 2016,158120,4,2,CELTOCC,Celtis occidentalis,NPSpecies 2010,,,,,,,,1,,,0
BIRT002 - 2016,158122,4,2,ACERSACM,Acer saccharum,NPSpecies 2010,,,,,,1,,,,,0
BIRT002 - 2016,158124,4,3,FRAXAME,Fraxinus americana,NPSpecies 2010,,,2,,,,,,,,0
BIRT002 - 2016,158126,4,3,ACERSACM,Acer saccharum,NPSpecies 2010,,,,,,,1,,,,0
BIRT002 - 2016,158128,4,3,ULMUALA,Ulmus alata,NPSpecies 2010,,,,,,,1,,,,0
BIRT005 - 2011,5164,1,2,SAMBNIG,Sambucus nigra,NPSpecies 2010,,,,,,3,2,,,,0
BIRT005 - 2011,5166,1,4,ACERNEG,Acer negundo,NPSpecies 2010,1,,,,,,,,,,0
BIRT005 - 2011,5168,2,2,MORURUB,Morus rubra,NPSpecies 2010,,,,,,,,1,,,0
BIRT005 - 2011,5170,2,3,SAMBNIG,Sambucus nigra,NPSpecies 2010,,,,,1,5,1,,,,0
BIRT005 - 2011,5172,2,3,CELTOCC,Celtis occidentalis,NPSpecies 2010,,,,,,,,,1,,0
BIRT005 - 2011,5174,3,2,ACERNEG,Acer negundo,NPSpecies 2010,1,,,,,,,,,,0
BIRT005 - 2011,5176,3,2,ACERSACM,Acer saccharum,NPSpecies 2010,,,,,,3,2,,,,0
BIRT005 - 2011,5178,3,4,ACERNEG,Acer negundo,NPSpecies 2010,,,,,1,1,,,,,0
BIRT005 - 2011,5180,3,4,SAMBNIG,Sambucus nigra,NPSpecies 2010,,,,,,2,,,,,0
BIRT005 - 2011,5182,3,4,CELTOCC,Celtis occidentalis,NPSpecies 2010,,,,,,8,,,,,0
BIRT005 - 2016,158218,2,2,ACERSACM,Acer saccharum,NPSpecies 2010,,,,,,,,1,,,0
BIRT005 - 2016,158220,2,2,MORURUB,Morus rubra,NPSpecies 2010,,,,,,,,1,,,0
BIRT005 - 2016,158222,2,3,SAMBNIG,Sambucus nigra,NPSpecies 2010,,,,,1,2,,,,,0
