event_name_date_calc,Module,Tree_Number,Species_Original,Plant_Name,Plant_Concept_Reference,Species_ID_Confidence,DBH,Tree_Status,Crown_Class,Vigor,Dieback,Condition_Damage_Code_1,Condition_Damage_Code_2,Condition_Damage_Code_3,Condition_Damage_Code_4,Condition_Damage_Code_5,Foliage_Condition_1,Foliage_Percent_Class_1,Foliage_Condition_2,Foliage_Percent_Class_2,Foliage_Condition_3,Foliage_Percent_Class_3,Foliage_Condition_4,Foliage_Percent_Class_4,Foliage_Condition_5,Foliage_Percent_Class_5,Dead_Tree_Decay_Class,Tree_Notes,Data_Entry_Flag,Data_Entry_Notes
BIRT002 - 2011,1,1,LIRITUL,Liriodendron tulipifera,NPSpecies 2010,,39,1,3,1,,,,,,,,,,,,,,,,,,,0,crown class- 3?
BIRT002 - 2011,1,2,LIRITUL,Liriodendron tulipifera,NPSpecies 2010,,20,1,4,1,,CROK,,,,,,,,,,,,,,,,,0,
BIRT002 - 2011,1,3,LIRITUL,Liriodendron tulipifera,NPSpecies 2010,,49,1,3,1,,VINE,CROK,,,,,,,,,,,,,,,Vine=ToxiRad,0,
BIRT002 - 2011,1,4,LIRITUL,Liriodendron tulipifera,NPSpecies 2010,,18,1,5,1,,VINE,,,,,,,,,,,,,,,,Vine=ToxiRad,0,
BIRT002 - 2011,1,5,LIRITUL,Liriodendron tulipifera,NPSpecies 2010,,36,1,3,1,,CROK,,,,,,,,,,,,,,,,,0,
BIRT002 - 2011,1,6,ACERSACM,Acer saccharum,NPSpecies 2010,,14,1,5,1,,VINE,ROOT,,,,,,,,,,,,,,,Vine= LoniJap,0,
BIRT002 - 2011,1,7,CELTOCC,Celtis occidentalis,NPSpecies 2010,,10,1,5,1,,,,,,,,,,,,,,,,,,,0,
BIRT002 - 2011,1,8,ULMURUB,Ulmus rubra,NPSpecies 2010,,25,1,5,1,2,CROK,FORK,,,,,,,,,,,,,,,,0,
BIRT002 - 2011,3,9,LIRITUL,Liriodendron tulipifera,NPSpecies 2010,,17,1,5,1,,VINE,,,,,,,,,,,,,,,,Vine=ToxiRad,0,
BIRT002 - 2011,3,10,LIRITUL,Liriodendron tulipifera,NPSpecies 2010,,18,1,5,4,4,DTOP,EPIC,SPRT,,,,,,,,,,,,,,,0,
BIRT002 - 2011,3,11,LIRITUL,Liriodendron tulipifera,NPSpecies 2010,,26,1,5,2,3,BROK,FORK,VINE,,,,,,,,,,,,,,Vine= PartQue,0,
