location_name,QAQC,event_year,event_name_calc,Module,Corner,Species_Original,Plant_Concept_Current_IDF,Seedling_Ht_5_50,Seedling_Ht_50_137,Sapling_DBH_0_1,Sapling_DBH_1_2half,Sapling_DBH_2half_5,Sapling_DBH_5_10,Seedling_Ht_5_15,Seedling_Ht_15_30,Seedling_Ht_30_50
STRI011,-1,2011,STRI011Q,4,2,FRAXAME,{79F9F1F4-656B-47A6-B616-41761786A6BD},2,,,,,,,,
STRI011,-1,2011,STRI011Q,3,2,VIBURUF,{BE4B8A15-1A1A-47D1-8495-EF23DA0022FC},,,,1,,,,,
STRI011,-1,2011,STRI011Q,3,4,FRANCAR,{C6B5C930-2A70-4986-90B7-B88F03AD04F2},,1,1,,,,,,
STRI011,-1,2011,STRI011Q,2,2,JUNIVIR,{93F0EB64-8D04-4DF8-9E2E-AE19AD08B5DE},,,,,,1,,,
STRI011,-1,2011,STRI011Q,3,4,LIGUSIN,{F1A2ACD7-D7B5-47A0-A243-E38B0BE4B677},6,,,,,,,,
STRI011,-1,2011,STRI011Q,1,2,FRAXAME,{79F9F1F4-656B-47A6-B616-41761786A6BD},4,,,1,,,,,
STRI011,-1,2011,STRI011Q,2,3,FRAXAME,{79F9F1F4-656B-47A6-B616-41761786A6BD},5,1,,2,1,,,,
STRI011,-1,2011,STRI011Q,1,4,FRAXAME,{79F9F1F4-656B-47A6-B616-41761786A6BD},4,,2,1,,,,,
STRI011,-1,2011,STRI011Q,4,2,LIGUSIN,{F1A2ACD7-D7B5-47A0-A243-E38B0BE4B677},1,,,,,,,,
STRI011,-1,2011,STRI011Q,2,3,CELTLAE,{4030CF4F-20A2-4673-BF72-626F8D0D4963},2,,,,,,,,
STRI011,-1,2011,STRI011Q,3,2,LIGUSIN,{F1A2ACD7-D7B5-47A0-A243-E38B0BE4B677},2,,,,,,,,
STRI011,-1,2011,STRI011Q,2,2,ULMUALA,{1B0FB3A9-1387-4901-985E-2DBCBCBFC8F1},1,,,,,,,,
STRI011,-1,2011,STRI011Q,4,3,ULMUALA,{1B0FB3A9-1387-4901-985E-2DBCBCBFC8F1},1,,,,,,,,
STRI011,-1,2011,STRI011Q,4,3,FRAXAME,{79F9F1F4-656B-47A6-B616-41761786A6BD},14,1,,,,,,,
STRI011,-1,2011,STRI011Q,3,2,FRAXAME,{79F9F1F4-656B-47A6-B616-41761786A6BD},5,,,,1,,,,
STRI011,-1,2011,STRI011Q,2,2,LIGUSIN,{F1A2ACD7-D7B5-47A0-A243-E38B0BE4B677},5,,,,,,,,
STRI011,-1,2011,STRI011Q,1,4,QUERMUE,{AB842947-D1D9-4644-85EE-B71BB0738A9F},2,,,,1,,,,
STRI011,-1,2011,STRI011Q,2,3,LIGUSIN,{F1A2ACD7-D7B5-47A0-A243-E38B0BE4B677},8,1,,,,,,,
STRI011,-1,2011,STRI011Q,3,4,FRAXAME,{79F9F1F4-656B-47A6-B616-41761786A6BD},5,,,4,,,,,
STRI011,-1,2011,STRI011Q,1,4,CELTLAE,{4030CF4F-20A2-4673-BF72-626F8D0D4963},1,,,,,,,,
STRI011,-1,2011,STRI011Q,1,4,JUNIVIR,{93F0EB64-8D04-4DF8-9E2E-AE19AD08B5DE},,,,,,1,,,
STRI011,-1,2011,STRI011Q,2,3,ULMUALA,{1B0FB3A9-1387-4901-985E-2DBCBCBFC8F1},1,,,,,,,,
STRI011,-1,2011,STRI011Q,1,4,LIGUSIN,{F1A2ACD7-D7B5-47A0-A243-E38B0BE4B677},2,,2,1,,,,,
STRI011,-1,2011,STRI011Q,3,4,ULMUALA,{1B0FB3A9-1387-4901-985E-2DBCBCBFC8F1},4,,,,,,,,
STRI011,-1,2011,STRI011Q,3,4,CELTLAE,{4030CF4F-20A2-4673-BF72-626F8D0D4963},1,,,,,,,,
STRI011,-1,2011,STRI011Q,2,2,FRAXAME,{79F9F1F4-656B-47A6-B616-41761786A6BD},9,,,,,,,,
STRI011,-1,2011,STRI011Q,4,2,DIOSVIR,{C6C5D109-63B8-4C39-A9BC-713273C1DDC6},1,,,,,,,,
STRI011,-1,2011,STRI011Q,4,3,LIGUSIN,{F1A2ACD7-D7B5-47A0-A243-E38B0BE4B677},5,,2,,,,,,
STRI011,-1,2011,STRI011Q,4,2,JUNIVIR,{93F0EB64-8D04-4DF8-9E2E-AE19AD08B5DE},,,,1,,,,,
STRI011,-1,2011,STRI011Q,3,4,Carya sp.,{835ABC0C-CAD0-4D93-BCB7-3805304F5CAF},1,,,,,,,,
STRI011,-1,2011,STRI011Q,2,2,CELTLAE,{4030CF4F-20A2-4673-BF72-626F8D0D4963},1,,,,,,,,
STRI011,-1,2011,STRI011Q,1,2,LIGUSIN,{F1A2ACD7-D7B5-47A0-A243-E38B0BE4B677},4,1,,,,,,,
STRI011,-1,2011,STRI011Q,4,2,QUERIMB,{C979EEB3-3E6A-4A2A-B4F7-3CF3631D23ED},1,,,,,,,,
STRI011,-1,2011,STRI011Q,1,2,CELTLAE,{4030CF4F-20A2-4673-BF72-626F8D0D4963},1,,,,,,,,
STRI011,-1,2011,STRI011Q,1,2,JUNIVIR,{93F0EB64-8D04-4DF8-9E2E-AE19AD08B5DE},1,,,1,,,,,
STRI011,0,2011,STRI011,2,3,FRAXAME,{79F9F1F4-656B-47A6-B616-41761786A6BD},2,1,,4,,,,,
STRI011,0,2011,STRI011,4,2,JUNIVIR,{93F0EB64-8D04-4DF8-9E2E-AE19AD08B5DE},,,,1,,,,,
STRI011,0,2011,STRI011,4,2,FRAXAME,{79F9F1F4-656B-47A6-B616-41761786A6BD},3,,,,,,,,
STRI011,0,2011,STRI011,1,4,JUNIVIR,{93F0EB64-8D04-4DF8-9E2E-AE19AD08B5DE},,,,,,1,,,
STRI011,0,2011,STRI011,1,4,FRAXAME,{79F9F1F4-656B-47A6-B616-41761786A6BD},5,,,,,,,,
STRI011,0,2011,STRI011,3,2,VIBURUF,{BE4B8A15-1A1A-47D1-8495-EF23DA0022FC},,,1,,,,,,
STRI011,0,2011,STRI011,1,4,QUERMUE,{AB842947-D1D9-4644-85EE-B71BB0738A9F},2,,,,,,,,
