location_name,QAQC,event_year,event_name_calc,Disturbance_Open_Grown,Disturbance_Homesite,Disturbance_Fire_Recent,Disturbance_Fire_Historic,Disturbance_Deer_Browse,Disturbance_Logging,Disturbance_Plowing,Disturbance_Pasture,Disturbance_Erosion,Stand_Height
STRI011,-1,2011,STRI011Q,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
STRI011,0,2011,STRI011,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
COWP014,-1,2012,COWP014Q,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,
COWP014,0,2012,COWP014,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,
CHIC007,-1,2012,CHIC007Q,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,
CHIC007,0,2012,CHIC007,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
MACA036,-1,2014,MACA036Q,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,20
MACA036,0,2014,MACA036,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,19.6
MACA008,-1,2016,MACA008Q,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,26
MACA008,0,2016,MACA008,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,30
MACA047,-1,2015,MACA047Q,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,27
MACA047,0,2015,MACA047,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,30
MACA058,0,2016,MACA058,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,28
MACA058,-1,2016,MACA058Q,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,28
LOOK007,-1,2012,LOOK007Q,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
LOOK007,0,2012,LOOK007,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
MACA053,0,2015,MACA053,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,31
MACA053,-1,2015,MACA053Q,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,27
GUCO009,0,2011,GUCO009,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
GUCO009,-1,2011,GUCO009Q,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
MACA001,-1,2016,MACA001Q,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,22
MACA001,0,2016,MACA001,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,28.7
MACA007,0,2016,MACA007,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,19
MACA007,-1,2016,MACA007Q,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,22
