Park,SubPark,CEGL,community name,CommunityAlliance,CommunityGroup,CommunityMacroGroup,"Count of plots in subpark, this cegl",gp1,gp2,MP comment
MACA,MACA,CEGL005022,Quercus montana / Smilax spp. Forest,A0248 Chestnut Oak - Scarlet Oak Forest Alliance AKA Quercus prinus - Quercus coccinea Forest Alliance,G015 Appalachian Oak / Chestnut Forest Group,M502 Appalachian-Northeastern Oak - Hardwood - Pine Forest & Woodland Macrogroup,2,Acidic Oak-Hickory,Acidic Oak-Hickory,Q. prinus/montana
CARL,CARL,CEGL006271,"Quercus (montana, coccinea) / Kalmia latifolia / (Galax urceolata, Gaultheria procumbens) Forest",A0248 Chestnut Oak - Scarlet Oak Forest Alliance AKA Quercus prinus - Quercus coccinea Forest Alliance,G015 Appalachian Oak / Chestnut Forest Group,M502 Appalachian-Northeastern Oak - Hardwood - Pine Forest & Woodland Macrogroup,2,Acidic Oak-Hickory,Acidic Oak-Hickory,Q. prinus/montana
CUGA,CUGA,CEGL006271,"Quercus (montana, coccinea) / Kalmia latifolia / (Galax urceolata, Gaultheria procumbens) Forest",A0248 Chestnut Oak - Scarlet Oak Forest Alliance AKA Quercus prinus - Quercus coccinea Forest Alliance,G015 Appalachian Oak / Chestnut Forest Group,M502 Appalachian-Northeastern Oak - Hardwood - Pine Forest & Woodland Macrogroup,5,Acidic Oak-Hickory,Acidic Oak-Hickory,Q. prinus/montana
KIMO,KIMO,CEGL006281,Quercus montana - Quercus alba / Oxydendrum arboreum / Vitis rotundifolia Forest,A0248 Chestnut Oak - Scarlet Oak Forest Alliance AKA Quercus prinus - Quercus coccinea Forest Alliance,G015 Appalachian Oak / Chestnut Forest Group,M502 Appalachian-Northeastern Oak - Hardwood - Pine Forest & Woodland Macrogroup,11,Acidic Oak-Hickory,Acidic Oak-Hickory,Q. prinus/montana
KIMO,KIMO,CEGL008431,Quercus montana - (Quercus coccinea) / Carya pallida / Vaccinium arboreum - Vaccinium pallidum Forest,A0248 Chestnut Oak - Scarlet Oak Forest Alliance AKA Quercus prinus - Quercus coccinea Forest Alliance,G015 Appalachian Oak / Chestnut Forest Group,M502 Appalachian-Northeastern Oak - Hardwood - Pine Forest & Woodland Macrogroup,8,Acidic Oak-Hickory,Acidic Oak-Hickory,Q. prinus/montana
LIRI,LIRI,CEGL008431,Quercus montana - (Quercus coccinea) / Carya pallida / Vaccinium arboreum - Vaccinium pallidum Forest,A0248 Chestnut Oak - Scarlet Oak Forest Alliance AKA Quercus prinus - Quercus coccinea Forest Alliance,G015 Appalachian Oak / Chestnut Forest Group,M502 Appalachian-Northeastern Oak - Hardwood - Pine Forest & Woodland Macrogroup,6,Acidic Oak-Hickory,Acidic Oak-Hickory,Q. prinus/montana
RUCA,RUCA,CEGL008431,Quercus montana - (Quercus coccinea) / Carya pallida / Vaccinium arboreum - Vaccinium pallidum Forest,A0248 Chestnut Oak - Scarlet Oak Forest Alliance AKA Quercus prinus - Quercus coccinea Forest Alliance,G015 Appalachian Oak / Chestnut Forest Group,M502 Appalachian-Northeastern Oak - Hardwood - Pine Forest & Woodland Macrogroup,10,Acidic Oak-Hickory,Acidic Oak-Hickory,Q. prinus/montana
CARL,CARL,CEGL006286,Quercus montana - Quercus rubra / Rhododendron maximum / Galax urceolata Forest,A0250 Chestnut Oak - Northern Red Oak Forest Alliance AKA Quercus prinus - Quercus rubra Forest Alliance,G015 Appalachian Oak / Chestnut Forest Group,M502 Appalachian-Northeastern Oak - Hardwood - Pine Forest & Woodland Macrogroup,8,Acidic Oak-Hickory,Acidic Oak-Hickory,Q. prinus/montana
CUGA,CUGA,CEGL006286,Quercus montana - Quercus rubra / Rhododendron maximum / Galax urceolata Forest,A0250 Chestnut Oak - Northern Red Oak Forest Alliance AKA Quercus prinus - Quercus rubra Forest Alliance,G015 Appalachian Oak / Chestnut Forest Group,M502 Appalachian-Northeastern Oak - Hardwood - Pine Forest & Woodland Macrogroup,4,Acidic Oak-Hickory,Acidic Oak-Hickory,Q. prinus/montana
CARL,CARL,CEGL007267,Quercus montana - (Quercus rubra) - Carya spp. / Oxydendrum arboreum - Cornus florida Forest,A0250 Chestnut Oak - Northern Red Oak Forest Alliance AKA Quercus prinus - Quercus rubra Forest Alliance,G015 Appalachian Oak / Chestnut Forest Group,M502 Appalachian-Northeastern Oak - Hardwood - Pine Forest & Woodland Macrogroup,4,Acidic Oak-Hickory,Acidic Oak-Hickory,Q. prinus/montana
CUGA,CUGA,CEGL007267,Quercus montana - (Quercus rubra) - Carya spp. / Oxydendrum arboreum - Cornus florida Forest,A0250 Chestnut Oak - Northern Red Oak Forest Alliance AKA Quercus prinus - Quercus rubra Forest Alliance,G015 Appalachian Oak / Chestnut Forest Group,M502 Appalachian-Northeastern Oak - Hardwood - Pine Forest & Woodland Macrogroup,17,Acidic Oak-Hickory,Acidic Oak-Hickory,Q. prinus/montana
RUCA,RUCA,CEGL007268,Quercus montana - Carya ovata - Quercus rubra / Acer saccharum Forest,A0250 Chestnut Oak - Northern Red Oak Forest Alliance AKA Quercus prinus - Quercus rubra Forest Alliance,G015 Appalachian Oak / Chestnut Forest Group,M502 Appalachian-Northeastern Oak - Hardwood - Pine Forest & Woodland Macrogroup,4,Acidic Oak-Hickory,Acidic Oak-Hickory,Q. prinus/montana
CARL,CARL,CEGL007519,"Pinus strobus - Quercus (coccinea, montana) / (Gaylussacia ursina, Vaccinium stamineum) Forest",A2080 Eastern White Pine - Chestnut Oak Appalachian Forest Alliance AKA Pinus strobus - Quercus prinus Appalachian Forest Alliance,G015 Appalachian Oak / Chestnut Forest Group,M502 Appalachian-Northeastern Oak - Hardwood - Pine Forest & Woodland Macrogroup,8,Acidic Oak-Hickory,Acidic Oak-Hickory,Q. prinus/montana
KIMO,KIMO,CEGL003708,Quercus montana - Quercus marilandica Piedmont Woodland,A3289 Chestnut Oak - Southern Red Oak Forest Alliance AKA Quercus prinus - Quercus falcata Forest Alliance,G159 South-Central Interior Oak Forest & Woodland Group,M016 Southern & South-Central Oak - Pine Forest & Woodland Macrogroup,2,Acidic Oak-Hickory,Acidic Oak-Hickory,Q. prinus/montana
LIRI,LIRI,CEGL004098,"Quercus (alba, coccinea, falcata, velutina) / Kalmia latifolia Forest",A3289 Chestnut Oak - Southern Red Oak Forest Alliance AKA Quercus prinus - Quercus falcata Forest Alliance,G159 South-Central Interior Oak Forest & Woodland Group,M016 Southern & South-Central Oak - Pine Forest & Woodland Macrogroup,1,Acidic Oak-Hickory,Acidic Oak-Hickory,Q. prinus/montana
CHCH,LOOK,CEGL007700,"Quercus montana - Quercus spp. / Vaccinium arboreum - (Kalmia latifolia, Styrax grandifolius) Forest",A3289 Chestnut Oak - Southern Red Oak Forest Alliance AKA Quercus prinus - Quercus falcata Forest Alliance,G159 South-Central Interior Oak Forest & Woodland Group,M016 Southern & South-Central Oak - Pine Forest & Woodland Macrogroup,19,Acidic Oak-Hickory,Acidic Oak-Hickory,Q. prinus/montana
MACA,MACA,CEGL007700,"Quercus montana - Quercus spp. / Vaccinium arboreum - (Kalmia latifolia, Styrax grandifolius) Forest",A3289 Chestnut Oak - Southern Red Oak Forest Alliance AKA Quercus prinus - Quercus falcata Forest Alliance,G159 South-Central Interior Oak Forest & Woodland Group,M016 Southern & South-Central Oak - Pine Forest & Woodland Macrogroup,1,Acidic Oak-Hickory,Acidic Oak-Hickory,Q. prinus/montana
CHCH,LOOK,CEGL008430,Quercus alba - (Quercus montana) / (Hydrangea quercifolia) - Viburnum acerifolium / Carex picta Forest,A3289 Chestnut Oak - Southern Red Oak Forest Alliance AKA Quercus prinus - Quercus falcata Forest Alliance,G159 South-Central Interior Oak Forest & Woodland Group,M016 Southern & South-Central Oak - Pine Forest & Woodland Macrogroup,2,Acidic Oak-Hickory,Acidic Oak-Hickory,Q. prinus/montana
