"SubunitCode","panel_init_year","panel_label","CEGL","event_ID","taxagroup","seeddens","sapldens"
"SHIL",2011,"2011-2013","CEGL007246","{000CA06A-58DA-455F-9DCF-40BE4EA539C5}",5,1250,125
"SHIL",2011,"2011-2013","CEGL007246","{000CA06A-58DA-455F-9DCF-40BE4EA539C5}",1,3750,250
"SHIL",2011,"2011-2013","CEGL007246","{000CA06A-58DA-455F-9DCF-40BE4EA539C5}",2,0,250
"SHIL",2011,"2011-2013","CEGL007246","{000CA06A-58DA-455F-9DCF-40BE4EA539C5}",3,1250,0
"SHIL",2011,"2011-2013","CEGL007246","{000CA06A-58DA-455F-9DCF-40BE4EA539C5}",4,2500,500
"MACA",2011,"2011-2013","CEGL005131","{011FBFBA-7F1F-4F10-B304-605C8F932BD1}",5,16250,625
"MACA",2011,"2011-2013","CEGL005131","{011FBFBA-7F1F-4F10-B304-605C8F932BD1}",1,3750,500
"MACA",2011,"2011-2013","CEGL005131","{011FBFBA-7F1F-4F10-B304-605C8F932BD1}",2,27500,500
"MACA",2011,"2011-2013","CEGL005131","{011FBFBA-7F1F-4F10-B304-605C8F932BD1}",3,7500,375
"MACA",2011,"2011-2013","CEGL005131","{011FBFBA-7F1F-4F10-B304-605C8F932BD1}",4,5000,625
"BIRT",2011,"2011-2012","CEGL007220","{015E0434-5E1F-43D8-BFC4-A6AC08A3C0CA}",5,0,250
"BIRT",2011,"2011-2012","CEGL007220","{015E0434-5E1F-43D8-BFC4-A6AC08A3C0CA}",1,1250,0
"BIRT",2011,"2011-2012","CEGL007220","{015E0434-5E1F-43D8-BFC4-A6AC08A3C0CA}",2,70000,1250
"BIRT",2011,"2011-2012","CEGL007220","{015E0434-5E1F-43D8-BFC4-A6AC08A3C0CA}",3,1250,1625
"BIRT",2011,"2011-2012","CEGL007220","{015E0434-5E1F-43D8-BFC4-A6AC08A3C0CA}",4,1250,125
"CARL",2016,"2016-2018","CEGL007267","{020A733C-04C1-4DC0-AAE9-11F725023F5B}",5,1250,0
"CARL",2016,"2016-2018","CEGL007267","{020A733C-04C1-4DC0-AAE9-11F725023F5B}",1,12500,750
"CARL",2016,"2016-2018","CEGL007267","{020A733C-04C1-4DC0-AAE9-11F725023F5B}",2,0,500
"CARL",2016,"2016-2018","CEGL007267","{020A733C-04C1-4DC0-AAE9-11F725023F5B}",3,1250,0
"CARL",2016,"2016-2018","CEGL007267","{020A733C-04C1-4DC0-AAE9-11F725023F5B}",4,0,1750
"COWP",2011,"2011-2013","CEGL007244","{0291F050-0151-4EC7-90DD-41C4087C0499}",5,0,125
"COWP",2011,"2011-2013","CEGL007244","{0291F050-0151-4EC7-90DD-41C4087C0499}",1,12500,375
"COWP",2011,"2011-2013","CEGL007244","{0291F050-0151-4EC7-90DD-41C4087C0499}",2,1250,375
"COWP",2011,"2011-2013","CEGL007244","{0291F050-0151-4EC7-90DD-41C4087C0499}",3,5000,375
"COWP",2011,"2011-2013","CEGL007244","{0291F050-0151-4EC7-90DD-41C4087C0499}",4,0,125
"DONE",2011,"2011-2013","CEGL002070","{02F841FF-EE38-4884-A9EE-8CAEFF0E225C}",5,2500,0
"DONE",2011,"2011-2013","CEGL002070","{02F841FF-EE38-4884-A9EE-8CAEFF0E225C}",1,3750,0
"DONE",2011,"2011-2013","CEGL002070","{02F841FF-EE38-4884-A9EE-8CAEFF0E225C}",2,26250,1375
"DONE",2011,"2011-2013","CEGL002070","{02F841FF-EE38-4884-A9EE-8CAEFF0E225C}",3,13750,0
"DONE",2011,"2011-2013","CEGL002070","{02F841FF-EE38-4884-A9EE-8CAEFF0E225C}",4,6250,0
"LIRI",2011,"2011-2013","CEGL007244","{030D6A9E-CD37-4D20-A22B-157E54FAB7EE}",5,11250,0
"LIRI",2011,"2011-2013","CEGL007244","{030D6A9E-CD37-4D20-A22B-157E54FAB7EE}",1,7500,125
"LIRI",2011,"2011-2013","CEGL007244","{030D6A9E-CD37-4D20-A22B-157E54FAB7EE}",2,23750,750
"KIMO",2016,"2016-2018","CEGL004418","{030FBECA-BEFD-4D29-B972-DA9F32E0A986}",5,10000,125
"KIMO",2016,"2016-2018","CEGL004418","{030FBECA-BEFD-4D29-B972-DA9F32E0A986}",1,6250,0
"KIMO",2016,"2016-2018","CEGL004418","{030FBECA-BEFD-4D29-B972-DA9F32E0A986}",2,12500,0
"KIMO",2016,"2016-2018","CEGL004418","{030FBECA-BEFD-4D29-B972-DA9F32E0A986}",3,3750,0
"KIMO",2016,"2016-2018","CEGL004418","{030FBECA-BEFD-4D29-B972-DA9F32E0A986}",4,20000,875
"RUCA",2011,"2011-2013","CEGL007233","{0312D7F5-A493-4B27-9522-3A57FF4B1A34}",5,5000,250
"RUCA",2011,"2011-2013","CEGL007233","{0312D7F5-A493-4B27-9522-3A57FF4B1A34}",1,3750,0
"RUCA",2011,"2011-2013","CEGL007233","{0312D7F5-A493-4B27-9522-3A57FF4B1A34}",2,6250,1625
"RUCA",2011,"2011-2013","CEGL007233","{0312D7F5-A493-4B27-9522-3A57FF4B1A34}",4,1250,375
"LIRI",2016,"2016-2018","CEGL008430","{03243396-6A3F-441E-A3D7-930AD0A0DDDC}",5,0,500
"LIRI",2016,"2016-2018","CEGL008430","{03243396-6A3F-441E-A3D7-930AD0A0DDDC}",1,3750,750
"LIRI",2016,"2016-2018","CEGL008430","{03243396-6A3F-441E-A3D7-930AD0A0DDDC}",2,16250,625
"LIRI",2016,"2016-2018","CEGL008430","{03243396-6A3F-441E-A3D7-930AD0A0DDDC}",3,0,125
"RUCA",2016,"2016-2018","CEGL008431","{04E57768-7CB0-4F67-AE1B-55927DFEFF1A}",5,11250,250
"RUCA",2016,"2016-2018","CEGL008431","{04E57768-7CB0-4F67-AE1B-55927DFEFF1A}",1,13750,0
"RUCA",2016,"2016-2018","CEGL008431","{04E57768-7CB0-4F67-AE1B-55927DFEFF1A}",2,12500,1375
