"SubunitCode","panel_init_year","panel_label","event_ID","CEGL","ba","dens","taxagroup"
"KNOB",2016,"2016-2018","{01007FBB-D555-4E5D-813B-85EE4BF08EB1}","CEGL002070",4.63581265415625,125,2
"MACA",2011,"2011-2013","{011FBFBA-7F1F-4F10-B304-605C8F932BD1}","CEGL005131",0.33183072365625,25,2
"BIRT",2011,"2011-2012","{015E0434-5E1F-43D8-BFC4-A6AC08A3C0CA}","CEGL007220",0.196349540625,25,2
"CARL",2016,"2016-2018","{020A733C-04C1-4DC0-AAE9-11F725023F5B}","CEGL007267",0.44178646640625,25,2
"DONE",2011,"2011-2013","{02F841FF-EE38-4884-A9EE-8CAEFF0E225C}","CEGL002070",0.23758294415625,25,2
"LIRI",2011,"2011-2013","{030D6A9E-CD37-4D20-A22B-157E54FAB7EE}","CEGL007244",2.5093471291875,125,2
"KIMO",2016,"2016-2018","{030FBECA-BEFD-4D29-B972-DA9F32E0A986}","CEGL004418",7.1196343430625,50,2
"RUCA",2011,"2011-2013","{0312D7F5-A493-4B27-9522-3A57FF4B1A34}","CEGL007233",4.893030552375,250,2
"LIRI",2016,"2016-2018","{03243396-6A3F-441E-A3D7-930AD0A0DDDC}","CEGL008430",,0,2
"SHIL",2016,"2016-2018","{05D39053-2164-4750-8992-F19EE0BFDB77}","CEGL007216",3.2711833468125,50,2
"LOOK",2011,"2011-2014","{08BCA74D-D44B-4F6D-9709-2050A237FAED}","CEGL007330",7.85594512040625,200,2
"RUCA",2011,"2011-2013","{08F90BCE-DF83-4796-9DA9-4023E30C8594}","CEGL008442",1.4804755363125,50,2
"RUCA",2016,"2016-2018","{0ADF7F39-A9EA-4F89-8A34-F50E268CD1D0}","CEGL007268",1.6532631320625,75,2
"CARL",2011,"2011-2013","{0B298B64-2215-43E5-A2ED-19DB82DE9DA8}","CEGL006271",0.196349540625,25,2
"MACA",2011,"2011-2013","{0C4B5792-083B-4C7A-BEC4-2F102803BCDD}","CEGL008442",10.9621948530937,150,2
"CHIC",2011,"2011-2013","{0CBE8039-50EB-4D03-A463-136E6239F199}","CEGL007247",0.44178646640625,25,2
"MACA",2011,"2011-2013","{0CEDDF2D-AD17-4E49-B55B-87F208A8AEAD}","CEGL005018",0,0,2
"KNOB",2011,"2011-2013","{0D1F00B9-6A4D-4D85-AFDB-9B248E609C18}","CEGL002411",5.5645459813125,350,2
"LOOK",2016,"2016-2018","{0D2FF3F3-554B-486D-8EBE-B5AE69367154}","CEGL007700",1.2370021059375,75,2
"MACA",2016,"2016-2018","{0E570ADF-85CD-46B1-918E-D6CAF823B068}","CEGL008442",0.70882184165625,25,2
"STRI",2016,"2016-2018","{0F48FF06-C0DA-4695-855D-9DF779C9189D}","CEGL007808",0.70882184165625,25,2
"MACA",2011,"2011-2013","{0F6AEE52-9730-4D64-8ADC-AA7B20DAF428}","CEGL004133",0.33183072365625,25,2
"NISI",2016,"2016-2018","{0F953CEB-F7EA-4801-99CB-BB3D1D06C504}","CEGL008462",0.2827433385,25,2
"LIRI",2016,"2016-2018","{1013A9FD-F7BD-4C9F-B410-FBCB7FE07E5B}","CEGL008431",4.013384610375,175,2
"KIMO",2011,"2011-2013","{11635730-D27A-455E-8435-421FF92C89C3}","CEGL006281",0,0,2
"COWP",2016,"2016-2018","{11BBA951-78BF-4820-A399-D913947B338D}","CEGL007221",2.269800689625,25,2
"SHIL",2011,"2011-2013","{11E072D1-F28F-4309-9108-BAF189A124DB}","CEGL007246",0.23758294415625,25,2
"LIRI",2011,"2011-2013","{1221D7DB-8E36-436E-81E1-2C7CBBDFDE56}","CEGL007493",1.02298110665625,75,2
"CUGA",2011,"2011-2013","{1252E3EF-C9BF-4D20-9ED4-D36B5BF1ED04}","CEGL006271",9.0163709055,325,2
"RUCA",2016,"2016-2018","{127674C7-E28E-433E-ACC9-75E513A60442}","CEGL008442",8.922123126,150,2
"CARL",2011,"2011-2013","{12B27D36-0D0D-405D-BCCC-B513AD4A2EBE}","CEGL006286",5.725552604625,150,2
"COWP",2011,"2011-2013","{13A88573-4AF9-4081-BBCC-72DADE1767E9}","CEGL007216",0.56745017240625,25,2
"GUCO",2016,"2016-2018","{15A20995-8462-4A25-BB71-07F52F1C26F3}","CEGL002591",6.41473949221875,275,2
"KNOB",2011,"2011-2013","{1674C624-C4C2-401A-B879-7E3987B590DC}","CEGL002070",0.2827433385,25,2
"GUCO",2016,"2016-2018","{167DBEB5-DA3E-40FD-94BB-1767BFEABB11}","CEGL002591",3.22209596165625,100,2
"MACA",2016,"2016-2018","{17499588-9056-40A1-A1D4-6721DEA0F7C0}","CEGL007795",6.56003815228125,125,2
"KIMO",2011,"2011-2013","{178E4891-23ED-42CE-A46D-F0A0388BF25F}","CEGL008475",3.70118884078125,125,2
"CARL",2016,"2016-2018","{18672263-C3E9-4BCA-AC37-D3049170290E}","CEGL006286",3.01003845778125,100,2
"COWP",2011,"2011-2013","{192D8F0B-0098-4B89-A511-8879AB812F59}","CEGL006327",3.934844794125,125,2
"MACA",2016,"2016-2018","{195BCAD3-A6B0-4E9E-9E3B-F1AEFFFD04D1}","CEGL002411",4.3236168845625,75,2
"BIRT",2016,"2016-2017","{1ABB13ED-133A-43B9-8879-AFA3EF51CE71}","CEGL007220",1.56490583878125,50,2
"HEIM",2016,"2016-2018","{1AC00714-E7A7-4C15-A40E-09161B830B4A}","CEGL007334",2.010619296,25,2
"RUCA",2016,"2016-2018","{1AF80B35-EF9F-49D7-828A-17C837617936}","CEGL002070",10.9425598990313,400,2
"CUGA",2016,"2016-2018","{1C0ACA11-A5CB-4D02-A02E-E78628E6E6B3}","CEGL006271",3.6795903913125,275,2
"KNOB",2016,"2016-2018","{1C6DAB15-B6F6-4004-A9C0-484855269F61}","CEGL002070",0.86590147415625,25,2
"KIMO",2016,"2016-2018","{1D557FDE-4C66-4B8C-9965-39C9301D969B}","CEGL007216",6.28907578621875,175,2
"LIRI",2011,"2011-2013","{1F3B818A-CE31-4CE1-9C6B-BB44BB8E63E5}","CEGL004098",0.23758294415625,25,2
"STRI",2011,"2011-2013","{20AC85E6-EB7B-4631-A939-7C13E41DBE96}","CEGL007124",0.23758294415625,25,2
"LIRI",2011,"2011-2013","{20B9460F-0E16-4E1D-B652-EBA8BD8B8729}","CEGL008430",0.761836217625,75,2
"HEIM",2016,"2016-2018","{20C8271A-133B-4732-9D0D-0F410B55AD6D}","CEGL007246",4.4100106824375,150,2
"BIRT",2016,"2016-2017","{21322C68-0B27-4608-92E2-07CBAD51737F}","CEGL007220",4.13708482096875,150,2
"GUCO",2011,"2011-2013","{21849A8E-65FA-4BBC-8913-504B60A671C1}","CEGL002591",1.56490583878125,50,2
"MACA",2016,"2016-2018","{21C518BB-3C96-4A4A-B36C-D046188F660F}","CEGL007795",0.636172511625,25,2
"SHIL",2011,"2011-2013","{22647B09-6E67-4AE5-9913-45FAE09A03AA}","CEGL007244",2.5329090740625,100,2
"KIMO",2011,"2011-2013","{227BCAB7-B471-47D7-B01E-0B6CD02FCE67}","CEGL006281",2.41706284509375,125,2
"KIMO",2016,"2016-2018","{2299F950-4848-4E62-991E-B49E658FA92F}","CEGL007244",16.9822717686563,450,2
"SHIL",2011,"2011-2013","{22D057CB-F9A6-45D4-8A49-603E26A55307}","CEGL007246",1.1427543264375,100,2
"CUGA",2011,"2011-2013","{22E4D55E-0093-481D-BAD1-C7C7A32758E4}","CEGL007240",1.86335714053125,50,2
"DONE",2011,"2011-2013","{23E87295-91ED-499D-8517-2357F714572F}","CEGL002070",0.90517138228125,50,2
"KIMO",2016,"2016-2018","{24426A25-09E4-4EE2-8E4E-50508E3C5C74}","CEGL006281",2.81761590796875,100,2
"MACA",2011,"2011-2013","{2466B77A-7769-4008-A3F5-FB7D23DBF1FC}","CEGL005018",0.94444129040625,50,2
"NISI",2011,"2011-2013","{256E7EA0-297A-4A83-B732-2D83ED3F19BA}","CEGL008462",0.2827433385,25,2
"DONE",2011,"2011-2013","{26EFAF9B-B45C-42B1-BFCB-1B64D3C2C204}","CEGL003871",2.2187498090625,50,2
"CUGA",2016,"2016-2018","{27496762-D228-491C-ACFA-96E58C50FFA4}","CEGL006271",7.060729480875,350,2
"COWP",2016,"2016-2018","{27737D6D-8416-49C6-882B-703ECC829B7A}","CEGL006327",0.384845099625,25,2
"GUCO",2011,"2011-2013","{2782AFD9-B272-487F-B4B1-A13D49621EB0}","CEGL007221",0.23758294415625,25,2
"LIRI",2011,"2011-2013","{28F7BFE0-33CB-41D4-904A-C19266E0D889}","CEGL007500",0.52032628265625,50,2
"MACA",2016,"2016-2018","{295E9575-5891-407A-BC9E-599F26C4F980}","CEGL008442",11.8870011894375,100,2
"BIRT",2011,"2011-2012","{2A2F8D2F-EC34-415B-8175-484087B06E03}","CEGL007124",1.6218472055625,100,2
"SHIL",2011,"2011-2013","{2B733CA6-5976-4CDE-906D-DCA3822097D0}","CEGL007244",0.196349540625,25,2
"GUCO",2016,"2016-2018","{2B744B6D-4D8E-42FF-A472-C74A05641C15}","CEGL008465",7.47110002078125,75,2
"MACA",2011,"2011-2013","{2BA46398-CE27-4CB8-B303-1E520FA927D8}","CEGL007795",5.61363336646875,100,2
"MACA",2016,"2016-2018","{2BA938C0-BE54-4C03-A049-05E09D962415}","CEGL007795",6.19482800671875,200,2
"CUGA",2011,"2011-2013","{2CB705B9-4D7B-4598-8283-5CDC5BC74466}","CEGL007267",2.96880505425,175,2
"MACA",2016,"2016-2018","{2D6E5613-BCE7-4CC0-BB46-7A2FE81E6591}","CEGL007124",0.23758294415625,25,2
"LOOK",2011,"2011-2014","{2E8AAFDF-5512-433C-A7C5-D94AC37C54DD}","CEGL007334",14.3119180161563,200,2
"BIRT",2011,"2011-2012","{306026FB-BD50-4420-B243-22D7B9D8FCAB}","CEGL007220",3.7384952535,125,2
"BIRT",2011,"2011-2012","{3134AC0D-E52C-4350-94AB-9EA129F5BB01}","CEGL004741",5.14632145978125,50,2
"MACA",2016,"2016-2018","{32F9D73E-EFAA-433B-85C2-2ADAF7E7E14E}","CEGL002070",1.99491133275,100,2
"KIMO",2011,"2011-2013","{3310AF53-F516-4D7E-B7C9-845F12FB4818}","CEGL007221",1.735729939125,50,2
"KIMO",2011,"2011-2013","{34922D56-7A9E-4E43-9288-34A803E82755}","CEGL007244",15.1464035638125,450,2
"HEIM",2016,"2016-2018","{3492E51B-0BD7-47F8-B804-0B78D8CF3FE4}","CEGL007246",0.7853981625,25,2
"COWP",2011,"2011-2013","{36107B40-A8D1-4E5F-8C6B-A617D9BFBDA6}","CEGL007221",2.13824649740625,25,2
"KIMO",2016,"2016-2018","{368A910C-7F6D-4496-AC0A-7FCC7F7B0296}","CEGL008431",0.887499923625,50,2
"GUCO",2011,"2011-2013","{36E69BF9-E35C-40D6-B3E7-C2EC471C55DC}","CEGL007221",2.16966242390625,125,2
"COWP",2016,"2016-2018","{383D057C-AFA1-4A72-9291-024513FA74AA}","CEGL006327",4.38055825134375,125,2
"STRI",2011,"2011-2013","{389F5D8E-933A-4FFD-ADBC-0B5FB626B7E3}","CEGL007808",0.636172511625,25,2
"MACA",2011,"2011-2013","{3A395CFC-6DFA-4F53-8AB6-36DFE729E139}","CEGL008442",2.46418673484375,125,2
"RUCA",2016,"2016-2018","{3A9D7B47-A973-4938-A20B-2607C8EB5BD0}","CEGL008442",5.26413118415625,75,2
"SHIL",2016,"2016-2018","{3AAD94CC-6A24-4B58-BC72-244BA116CA60}","CEGL007246",0.2827433385,25,2
"CUGA",2016,"2016-2018","{3BDE5527-3A01-4E2B-9717-507FF1D5F4ED}","CEGL006192",14.0566636133438,125,2
"MACA",2016,"2016-2018","{3CA90772-9004-4DD2-BAC8-DC424F1AEDAD}","CEGL004133",3.96822421603125,225,2
"CARL",2016,"2016-2018","{3DD1CF17-331C-4B9E-A228-ADD21F9119BE}","CEGL007519",0.56745017240625,25,2
"RUCA",2011,"2011-2013","{3DDE18EA-105F-4345-842F-CFF941772B36}","CEGL008442",4.8655416166875,75,2
"KIMO",2016,"2016-2018","{3F3078FB-0625-4759-A17A-73CE66A75F6A}","CEGL007244",6.5620016476875,125,2
"DONE",2016,"2016-2018","{400CBE71-66A1-4C4B-AA7B-5B967C2CAC2F}","CEGL003871",2.27176418503125,50,2
"LOOK",2016,"2016-2018","{403C3D38-2ECD-4C71-97F9-C348AF5191AA}","CEGL007700",1.51778194903125,75,2
"KNOB",2011,"2011-2013","{404C2B3C-7330-4AF4-89D8-14F66FD03549}","CEGL002070",4.20777065559375,125,2
"BIRT",2016,"2016-2017","{40C0F7C9-11E9-41B5-80F3-3E463D0CD7AF}","CEGL007220",0.23758294415625,25,2
"LIRI",2011,"2011-2013","{415D2433-D53A-4334-BA9B-8506BF43569D}","CEGL008430",0.2827433385,25,2
"SHIL",2011,"2011-2013","{4198EC80-F1E1-4BEB-941E-E25F291B0E71}","CEGL007216",3.1141037143125,50,2
"KNOB",2016,"2016-2018","{42398E21-E9F9-47E5-991C-C4F0AFDD252F}","CEGL002070",0.196349540625,25,2
"GUCO",2011,"2011-2013","{4250809D-20A0-40A5-818B-F4D4845C1F00}","CEGL007221",1.81623325078125,50,2
"LIRI",2016,"2016-2018","{436164E2-ED6A-41FD-A669-5D4E11317D18}","CEGL007388",12.0303363540938,250,2
"CUGA",2016,"2016-2018","{44150E16-A069-46E8-A22B-70C078F06118}","CEGL007692",0.58119464025,50,2
"CARL",2016,"2016-2018","{45724A33-BB2D-44EF-A2D1-AA9F3EBFEA3F}","CEGL007230",0.196349540625,25,2
"LOOK",2016,"2016-2018","{457FCC01-0CE2-4E1B-AE46-83A09997DF6B}","CEGL007330",5.37015993609375,125,2
"LIRI",2011,"2011-2013","{45DAFBA2-CF88-42A1-8B4D-7EF0A76FE229}","CEGL007493",0.72452980490625,75,2
"CARL",2011,"2011-2013","{463F0DA3-4A01-4431-8C30-4A2DAAF7CB07}","CEGL007519",0.99941916178125,75,2
"CUGA",2011,"2011-2013","{4693EE4A-E8DF-4C18-96C7-E303BC8EBB6F}","CEGL007296",1.170243262125,75,2
"LIRI",2016,"2016-2018","{471C7AB8-27FD-4597-B14D-F7EB3A4107C2}","CEGL002591",1.09366694128125,50,2
"CHIC",2016,"2016-2018","{477CD303-6357-4624-84ED-AC2659098891}","CEGL008429",0.5694136678125,50,2
"BIRT",2016,"2016-2017","{47C33567-BF3D-42D7-BAFD-9446A6D7C4A8}","CEGL007220",0.23758294415625,25,2
"CUGA",2016,"2016-2018","{4895BC99-4BD1-4572-B776-698F434D8FF9}","CEGL008558",0.7853981625,25,2
"RUCA",2016,"2016-2018","{48C9DD43-F639-4E1B-81E6-E6B35E85CC7C}","CEGL008431",0.61457406215625,50,2
"LOOK",2011,"2011-2014","{4AA928B8-D15B-4B46-8BEA-E4A40BF067B6}","CEGL007700",4.09781491284375,200,2
"COWP",2016,"2016-2018","{4BE7007C-2F71-41A0-A9F5-F028D3917790}","CEGL004418",,25,2
"GUCO",2011,"2011-2013","{4CE339A2-DBEB-4322-8DB3-E0EBC1FBEBD7}","CEGL008475",8.06014864265625,225,2
"KIMO",2011,"2011-2013","{4D2041BF-DB1F-4739-8448-20ED3DFEB32D}","CEGL007244",2.97862253128125,75,2
"GUCO",2011,"2011-2013","{4D947B44-B4D8-41AF-889E-630C904F8809}","CEGL006327",4.6927540209375,150,2
"CARL",2011,"2011-2013","{4DD48023-41FA-48C0-9F6A-110E29A9865C}","CEGL007267",2.269800689625,25,2
"MACA",2011,"2011-2013","{4E03B655-4EEE-40C2-895E-019D1BF71CCA}","CEGL008442",0.636172511625,25,2
"KNOB",2011,"2011-2013","{4F059002-9EB8-4DD0-8476-84FAB0CD4508}","CEGL002070",8.73559106240625,225,2
"NISI",2016,"2016-2018","{4F4713C5-E4A5-4765-9E91-EFB7D05A89A6}","CEGL008466",2.68802521115625,25,2
"KIMO",2016,"2016-2018","{4FA291EE-9DCD-415C-AEC2-3897F51A8BC1}","CEGL007244",2.5446900465,25,2
"LIRI",2011,"2011-2013","{4FB15F89-E4C6-421A-8F7F-17858DA9D657}","CEGL007493",1.76910936103125,50,2
"GUCO",2016,"2016-2018","{500BBA04-8ED9-4B03-ADF5-BEE8D1C496F3}","CEGL007221",7.092145407375,175,2
"KIMO",2011,"2011-2013","{500CB846-DB96-4DB6-91FE-6E348FE4CF06}","CEGL007244",0.52818026428125,50,2
"BIRT",2016,"2016-2017","{51448E0C-3F12-4F37-9486-7EE5B897A2D8}","CEGL004741",5.82961786115625,75,2
"CARL",2011,"2011-2013","{51C90FDC-6B40-4FEC-95E3-C89FFE67C864}","CEGL007230",1.22718462890625,25,2
"MACA",2011,"2011-2013","{5224FA2E-14BB-4F2C-BEDF-17D87B9148B9}","CEGL002411",4.28238348103125,75,2
"CUGA",2016,"2016-2018","{5284BA12-8F05-4C66-9E31-F231DF1DB105}","CEGL007267",6.212499465375,300,2
"CUGA",2016,"2016-2018","{5457B2BD-C727-4DF8-A554-EA9DCA4DBB97}","CEGL007220",0.23758294415625,25,2
"RUCA",2016,"2016-2018","{552C47C2-EA2F-4525-B9C6-53A74E89D3F3}","CEGL002070",1.93796996596875,75,2
"CARL",2011,"2011-2013","{56628658-9536-474B-8F04-3B27DB520ED6}","CEGL007519",0.2827433385,25,2
"BIRT",2011,"2011-2012","{56E30A9C-7C8A-4ADC-8A4F-878AEB25B152}","CEGL007220",2.03614473628125,75,2
"MACA",2011,"2011-2013","{56EFBB32-DF35-47C6-8173-47511171A081}","CEGL005022",1.72198547128125,125,2
"COWP",2011,"2011-2013","{57EB36ED-0AB3-4186-A5E3-7755887DA03E}","CEGL004418",0.196349540625,25,2
"HEIM",2011,"2011-2013","{58F13E25-4C62-40E2-BB86-29A5565D6D06}","CEGL007334",1.327322894625,25,2
"HEIM",2011,"2011-2013","{59E710AC-B838-4A4F-B98F-8A9696E51AA0}","CEGL007246",1.130973354,25,2
"KIMO",2016,"2016-2018","{59FBE7A6-D85F-4659-967E-C88F8682058B}","CEGL006281",0.196349540625,25,2
"LIRI",2016,"2016-2018","{5AF169D1-8EDB-48CD-B8BD-C0F3DAD2D65D}","CEGL007493",0.91695235471875,75,2
"MACA",2016,"2016-2018","{5B5ACCDB-AD76-4D53-923B-33E6009619EC}","CEGL007795",1.19576870240625,100,2
"GUCO",2011,"2011-2013","{5B9DD68F-DEBC-4B6E-A07E-DAC1C7862600}","CEGL007244",3.46164240121875,200,2
"LIRI",2016,"2016-2018","{5C655B00-89D8-4F0B-A6A8-54BDB05FD5E5}","CEGL007244",7.6615590751875,175,2
"KNOB",2016,"2016-2018","{5D055BB2-2A2E-498B-B645-DDCBD13D2BCC}","CEGL002070",0.950331776625,25,2
"KIMO",2016,"2016-2018","{5D12A1F3-1EAB-4AB0-B1B1-2097ADDAB77E}","CEGL008475",3.777765161625,125,2
"CARL",2011,"2011-2013","{5D909E40-AA9D-4899-8C17-42EF27F74060}","CEGL006286",1.22718462890625,25,2
"CUGA",2016,"2016-2018","{5EDBE68E-12A1-4F86-8FF1-ED352871CC38}","CEGL006271",1.79267130590625,125,2
"CUGA",2011,"2011-2013","{60700C1A-D207-4EEC-9668-A08A7740F4FC}","CEGL007240",2.8588493115,125,2
"CHIC",2016,"2016-2018","{60CBDF47-7879-4E16-91D8-07EB9311F5A0}","CEGL007247",0.56745017240625,25,2
"CARL",2016,"2016-2018","{623FE315-7A46-4F3F-85D0-CAD84A12D200}","CEGL007267",1.99687482815625,50,2
"MACA",2016,"2016-2018","{6268383E-74D6-4C1E-8827-724C6BFEEFBB}","CEGL005022",0.2827433385,25,2
"CARL",2011,"2011-2013","{62CA5D53-7C26-4700-A143-CFB832CB003B}","CEGL007267",1.3548118303125,100,2
"MACA",2016,"2016-2018","{634C4DD4-2E7C-4D92-8017-7CBEC27FDEE4}","CEGL005018",6.5070237763125,50,2
"COWP",2011,"2011-2013","{648AEFD0-D0F9-43A5-BACE-8947ABBC0D45}","CEGL004638",0.52032628265625,50,2
"LIRI",2016,"2016-2018","{653146DE-1F03-4021-AF30-FE9DB88AF62A}","CEGL007244",0.502654824,25,2
"GUCO",2016,"2016-2018","{668ABD67-5484-42B0-9084-13936CD1ABE7}","CEGL007244",3.055198852125,175,2
"CUGA",2016,"2016-2018","{66B23BDB-8E4A-45F2-869C-3AD9D86D0F33}","CEGL007267",6.15555809859375,150,2
"KIMO",2016,"2016-2018","{66E0D6E3-B9F3-4B19-9BE8-93BA85B75091}","CEGL007493",0,0,2
"NISI",2011,"2011-2013","{66E94B30-2329-42D3-804B-E89F98BC5D21}","CEGL008466",2.88437475178125,50,2
"COWP",2016,"2016-2018","{67D7F080-8696-46A8-B91A-1A86B34C5105}","CEGL006011",,0,2
"MACA",2011,"2011-2013","{6861D43E-0EE7-4B42-9471-8E2F62F88D1D}","CEGL004133",2.2972896253125,50,2
"MACA",2016,"2016-2018","{6876576B-5D50-4590-B5A5-6D55448C374E}","CEGL004133",2.6703537525,50,2
